"","60F_Avg","60M_Avg","48F_Avg","48M_Avg","36F_Avg","36M_Avg","18F_Avg","18M_Avg","7F_Avg","7M_Avg"
"gene-PCK2|PCK2",45788.4,88912,47961.2,74431.4,46751,87757.2,68128.6,98243.4,100806.8,122974.4
"gene-ALPL|ALPL",482.8,842,606.8,548.6,731,1033,1028,1023.8,892.4,1084
"gene-RPS2|RPS2",58712.6,45857.6666666667,76397.8,55844.4,101993,36437,81058,35907,121640.8,45760
"gene-IL22RA1|IL22RA1",4.6,19.6666666666667,0,19.4,12.8,34.2,11.4,13,6.8,6.6
"gene-PAM|PAM",1229.8,2481.66666666667,1291.2,2307.8,1677.4,2105.6,2160.8,1800,1429.2,1258.6
"gene-TRNAW-CCA|TRNAW-CCA",0,0,0,0,0,0,0,0,0,0
"gene-PARD6A|PARD6A",152.4,208.666666666667,134.8,405.2,197.8,271,209.8,233.2,187.4,155
"gene-LOC132780626|LOC132780626",0,0,0,0,0,0,0,0,0,0
"gene-CECR2|CECR2",111.6,225.333333333333,103,173.2,129,245,182.4,251.2,314.6,306.6
"gene-LOC132761884|LOC132761884",211.8,704,440.2,992.2,519.6,690.4,568,175.2,29.6,34.2
"gene-PDE5A|PDE5A",477.2,1259,469.8,1233.2,736.2,1068.6,1087.8,1024.8,1298.4,1291
"gene-LOC137095699|LOC137095699",25.6,40,22.8,42.6,33,46.4,62,58.8,81,76.6
"gene-LOC137097859|LOC137097859",0,5.33333333333333,0,3.8,0,4.8,1,4.2,1.6,3.4
"gene-PRKCG|PRKCG",35.2,52,21.2,70.2,46,104.6,28,61.6,45,32
"gene-CLIC2|CLIC2",115.6,190.333333333333,90.4,213.6,142.6,276.4,290,340.8,308.8,221.6
"gene-NCAPH2|NCAPH2",35.6,52,59.8,61,52,72,96.8,42.2,318,229
"gene-QKI|QKI",7016.2,8891.33333333333,7024.8,7128.8,7365,6125,9496.8,6269.8,7221.4,4315.4
"gene-ARMC10|ARMC10",493.4,539.333333333333,403,580,803.4,464.4,677.6,467.6,713.6,369.6
"gene-TMEM140|TMEM140",588.4,742.666666666667,497.4,1048.8,787,717.6,1170.4,410,726.2,173.4
"gene-ILKAP|ILKAP",544.6,641.666666666667,469.8,530,631.2,622,915.8,549,867.6,664
"gene-LOC132766623|LOC132766623",5.6,0,3.8,7.4,4.4,1.4,4.8,4,13,11.4
"gene-MDGA2|MDGA2",7.4,33.3333333333333,8.6,27.8,14.6,24.6,27.2,55.8,43.2,22.6
"gene-LOC132766074|LOC132766074",71,92,61,104.2,107.6,127,106.8,69.2,129,109.8
"gene-LOC132781757|LOC132781757",109.8,277.333333333333,143,247,82.4,221.8,164,126.8,83.6,71.2
"gene-LOC132779598|LOC132779598",0,0,0,13,0,0,0,0,12.2,6.6
"gene-MDM4|MDM4",4488,3193,3132.8,3903,3352,2938,3883.4,2228.2,3622.2,2734.6
"gene-LOC132765161|LOC132765161",103.2,879.333333333333,177.4,1424.8,113,362.4,310,246.6,44.4,250.6
"gene-STK11|STK11",927,1147,861.8,1040,1344.6,1257.8,1772.2,1018,1682.6,1100.6
"gene-ZFYVE28|ZFYVE28",28.4,85.6666666666667,37.2,92.2,46,55.2,55.6,34.4,24.6,16.4
"gene-LOC132772363|LOC132772363",5,11,2.8,11,2.4,13,9,20.8,11.8,2.4
"gene-TAS1R3|TAS1R3",0,1,2.4,0,0,2,1.6,1.4,1.2,0
"gene-LOC132781630|LOC132781630",11.2,11.3333333333333,8.2,9.2,12.2,12.8,14,9.4,9.4,4.4
"gene-LOC132772853|LOC132772853",0,2,0,0,5,0.6,0,0,0,0
"gene-PARD3B|PARD3B",482.2,931.666666666667,532.4,712.8,556.2,716.8,992.8,886.4,948.4,1005.2
"gene-LOC132776949|LOC132776949",1257.4,2362.66666666667,1650,2154.2,2356,2698.4,3165,2295.2,2630.4,1953.4
"gene-SYNGR4|SYNGR4",2.8,5.33333333333333,1.6,4.2,6.2,3,5.8,9.8,3.8,3
"gene-FIZ1|FIZ1",28.2,110.666666666667,55.6,92.6,47.8,97.6,131.8,133.4,144.6,134.6
"gene-HOXD13|HOXD13",0,0,0,0,0,0,0,0,0,0
"gene-GDPD1|GDPD1",156.8,77.3333333333333,123.4,91.4,141,144.4,234.6,222,113.8,270.8
"gene-TGFBR3|TGFBR3",2593.2,5041,2277.8,4330.4,3187.2,4825.2,4357.8,4678.4,5064,3952.6
"gene-LOC132770432|LOC132770432",0,0,0,0,0,0,0,0,0,0
"gene-LOC132762065|LOC132762065",0,2,0,0,0,0,0.8,0,0,0
"gene-CCDC57|CCDC57",370.2,141,319,175.8,182.6,143.6,183.2,146.8,251.2,157.4
"gene-LOC137096110|LOC137096110",0,0,0,0,0,0,0,0,0,0
"gene-LOC132769998|LOC132769998",787,862.333333333333,758.2,864,864,869.8,664.4,582,690.6,767.2
"gene-LOC132782794|LOC132782794",0,9.66666666666667,1.6,0,1.4,7.4,0,3.8,1.4,0
"gene-LOC137096949|LOC137096949",13,21.6666666666667,104.2,55.2,37.4,28.2,105.6,40,64.6,149.4
"gene-LOC137096030|LOC137096030",0,0,0.4,1.2,0,3,1,0,0,0
"gene-LOC132761128|LOC132761128",0,2.66666666666667,0,0,0,1.6,0,0,0,1
"gene-ARX|ARX",0,0,0,16.4,5,2.2,1.2,0,0,0
"gene-MKKS|MKKS",124,173,145,225.8,156.2,186.6,214.2,168.2,225,166.4
"gene-HAUS3|HAUS3",21.6,31.6666666666667,54.4,91.2,57.6,85.2,60.4,27.6,67.8,33
"gene-WASL|WASL",1282.4,1759.33333333333,1026.2,1314,1562.8,1550.4,1934.2,1724,1940.8,1557.8
"gene-TFEB|TFEB",316.6,855.333333333333,386.6,949,363.2,709.8,557.4,649,694.2,677.8
"gene-TATDN3|TATDN3",372.6,261,307.8,307.2,374.6,317.8,315,289.4,295.4,229.2
"gene-PABPN1L|PABPN1L",0,1.33333333333333,7.4,0.6,0,0,0,0,0,1.8
"gene-UBR5|UBR5",1105.6,2558.66666666667,1170.6,2094,1460.6,2068.2,2323.4,1647,2374,1678.6
"gene-LRRC74B|LRRC74B",5.6,33,14.6,45.8,20.4,27.8,19,27.2,6.2,19
"gene-LOC132772064|LOC132772064",13,15.3333333333333,2,32,3.6,27,17.4,35.8,39,31.2
"gene-LOC137095287|LOC137095287",478.6,691,479,629.4,514,638.4,698.6,655,673.2,624.6
"gene-LOC132766434|LOC132766434",7.6,13,5.4,7.8,15.6,15.6,17.4,21.6,10.2,8.4
"gene-SPATS2|SPATS2",2692.2,1092.66666666667,2941.2,1006.8,2275,1869.8,1625.2,770.4,1555.8,1238.6
"gene-COPB2|COPB2",4616.6,4187,8334.6,6066.2,3798.4,3893.6,3936.8,3670,3013.4,3697.4
"gene-LOC132767350|LOC132767350",1579.6,3148.66666666667,669.6,2410.4,1306,2166.8,1763,2175.2,4940.6,8321.2
"gene-LOC132777261|LOC132777261",0,0,0,0,0,0,0,0,0,0
"gene-NUP35|NUP35",292.2,341,310.4,478,320,403.4,390.2,239.6,375.6,221
"gene-LOC132770023|LOC132770023",0.8,0.333333333333333,0.2,0.8,0.2,0.4,0,0.4,0.4,0.4
"gene-LOC132783360|LOC132783360",0,0,0,0,0,0,0,0,0,0
"gene-LOC137097528|LOC137097528",0,0,0,0,0,0,0,0,0,0
"gene-LOC137095184|LOC137095184",5.4,520,4.8,440.8,5,523.8,12.4,432,5.6,324
"gene-APRT|APRT",911.6,813.666666666667,1299.6,1217.2,1116.2,1116,980.8,1040.2,1067.4,1046.2
"gene-LOC137096634|LOC137096634",0,0,0,0,0.2,0.4,0.2,0,0,0
"gene-DNAH2|DNAH2",33.2,67,100.2,109.6,241.2,65.6,640.2,134,263.4,75.2
"gene-LOC132764171|LOC132764171",0,0.333333333333333,0,0,0,2.2,0.6,0,0,0
"gene-TMEM271|TMEM271",0.8,0.666666666666667,1.2,0.4,1.4,2.6,2.2,1.6,1.2,1
"gene-SIGMAR1|SIGMAR1",1484,3560,2114,3106.8,2385.8,3466,3847,3846.4,5117.4,4405.8
"gene-POLR1B|POLR1B",180,353,227.2,459.4,278.2,517.8,495.4,364,454,344.2
"gene-ATF6|ATF6",532.2,790.333333333333,882.6,951.6,526.2,507,688.2,785.6,272.8,333
"gene-RITA1|RITA1",29.4,35,37.8,56.4,51.8,53,48.8,18.4,34.6,30.6
"gene-LOC132779356|LOC132779356",28.6,66.3333333333333,45.6,142.6,12,59.6,34.6,30,4,1.2
"gene-SSPN|SSPN",12,157.333333333333,76,179.2,66.6,181.4,144.6,97.4,105.8,89
"gene-MYO1H|MYO1H",0,4,0,2.4,3.6,4.2,0,2.2,3.8,4.6
"gene-DAB1|DAB1",109.4,221.666666666667,180,53.2,720.6,33.6,514,71.4,776,715.4
"gene-LOC137096395|LOC137096395",7.6,21,3.2,17,4.2,6.2,4.2,0.8,0,0
"gene-SIX4|SIX4",1.6,17.3333333333333,8.2,17.4,6.8,10.6,18.8,41.8,43,22.6
"gene-LAMA4|LAMA4",701.8,679,431.6,547.2,505.2,603.2,1207.8,753.6,1525.6,1016.2
"gene-SPATC1|SPATC1",0,4.33333333333333,0,0,0,0,0,0,0,0
"gene-HECTD3|HECTD3",763.2,1632,872.8,1468.2,1073,1287,1419.4,1169.2,1238,993.6
"gene-LOC132769925|LOC132769925",0,0,0,0,0,0,0,0,0,0
"gene-BLOC1S6|BLOC1S6",437.6,508,412.8,567.8,627.6,509.4,614.8,452.2,664.6,468.6
"gene-ADAMTS10|ADAMTS10",66.2,237,65.4,278.4,94.2,283.8,114.6,148.2,99.2,204.4
"gene-LOC137097937|LOC137097937",0.2,0.666666666666667,0,0.2,0.4,0.2,0.4,0.6,0.4,0.4
"gene-BOD1|BOD1",1117,1972.33333333333,1607.2,2279,2477.4,1862.8,2317.6,2208.8,2667.2,2066
"gene-LOC132776619|LOC132776619",7.8,32.6666666666667,28.6,28,30,25.4,56.6,43.4,43.8,13.8
"gene-LOC132776233|LOC132776233",4.2,5,1.8,3.6,6.2,7.8,1.6,4,6.6,2.8
"gene-LOC132776438|LOC132776438",2,6.33333333333333,8.6,1.6,16,7,13.2,24.4,35.8,7.2
"gene-GABRG3|GABRG3",0,0,0,0.6,0,0,0,0,0,1.2
"gene-VAX2|VAX2",0,0,0,0,0,0,0,0,0,0
"gene-PLXNB1|PLXNB1",30.4,298,87.4,125.6,141.6,191.6,219.2,133.8,275.8,160.6
"gene-LOC132780690|LOC132780690",0,0,0,0,0,0,0,0,3,0
"gene-SLC29A3|SLC29A3",597.6,1442.33333333333,646.2,1416.8,892.4,1088.8,1309.4,807.6,882.2,613.4
"gene-LRRIQ1|LRRIQ1",47,60.3333333333333,57.2,63.2,67.8,73.2,70.4,43.6,84,47
"gene-LOC132762906|LOC132762906",9727.2,14179.3333333333,8899,13762.8,9421.8,13515.6,10312,14681.2,10306.4,15380
"gene-CACNG6|CACNG6",0,0,2.6,0,0,0,0,0,1.4,0
"gene-TIMELESS|TIMELESS",152.8,155.666666666667,138.8,248.4,135,234.8,153.2,157.8,524.4,575.8
"gene-LOC132772917|LOC132772917",102.6,110.666666666667,57.8,121.6,73,141.6,103.8,90.4,65.2,81
"gene-GGT7|GGT7",7,97.3333333333333,42.4,152.6,22,28.6,23.2,8.8,9.4,11.2
"gene-LOC132776387|LOC132776387",189.2,576.666666666667,323.4,903.4,313.6,390.2,355.6,159.6,52.2,44.4
"gene-LOC137095464|LOC137095464",204,277,135,235.6,305.2,220.2,283.6,215.4,396.4,206.4
"gene-LOC132779784|LOC132779784",18.2,8,9.8,14.8,9,19,16.4,5.6,8.8,7.4
"gene-TSTD2|TSTD2",102.8,254.666666666667,182.4,295.8,193.8,260.2,300.8,277,333.2,355.6
"gene-CIP2A|CIP2A",104,116.333333333333,109,181.4,127,129.8,198.4,90.8,523.8,230.6
"gene-SPATA1|SPATA1",141.6,512.333333333333,144.8,571.4,264,786.6,542.6,1053.4,1221.2,1296.2
"gene-LOC132764501|LOC132764501",1.4,0,0,0,0,0,0,0,0,0
"gene-LOC132773595|LOC132773595",146.4,136.333333333333,206.4,106.4,293.6,157.6,63.2,229.2,64,62.8
"gene-CFAP74|CFAP74",0.4,2.66666666666667,5,0,0.8,5,0.6,5,6.8,1.2
"gene-NCAPG2|NCAPG2",5.4,6.66666666666667,37.6,34.2,19.2,20.8,104.8,8.2,696,364.6
"gene-C4H1orf21|C4H1orf21",214.4,253.333333333333,225,265.2,306.8,302.8,334.6,295.6,403.4,347.4
"gene-LOC132772419|LOC132772419",0,0,0,0,0,0,0,0,0,0
"gene-LOC132770036|LOC132770036",0.6,1.33333333333333,1.2,1.4,1.8,1,3.4,2,0.6,0.8
"gene-SYTL1|SYTL1",541.6,1020.66666666667,639.6,1240.2,656.4,792.6,978.8,575.2,941.8,708
"gene-LOC132777398|LOC132777398",0,0,0,0,0,0,0,0,0,0
"gene-SVBP|SVBP",578.8,542.666666666667,571.2,676.4,680.2,476.2,539.4,319.6,585.4,360.6
"gene-ETF1|ETF1",1955,3496.33333333333,2749.4,3587.8,2578.8,3647.6,3525.4,2867.8,3588.6,2205.4
"gene-GTF2H4|GTF2H4",215.2,266,243,296.4,251.4,331.2,425.8,298.8,266.8,205
"gene-LOC132761372|LOC132761372",14.4,30,12.6,57.2,29.4,29.4,23,19.4,12.4,10.4
"gene-FOXF1|FOXF1",85.4,158.666666666667,108.4,148.6,96.4,133.8,169.2,164.4,207,179.8
"gene-SLC2A2|SLC2A2",1.4,26.3333333333333,2.8,19.2,6.6,13.6,8.4,20,31.8,17.2
"gene-LOC132764638|LOC132764638",0,0,0,0,0,0,0,0,0,0
"gene-ANO3|ANO3",0,3,0.6,3,0,5.6,2.8,5.4,0,3.2
"gene-LRRC24|LRRC24",8.8,29.6666666666667,19.8,23.6,16,19.6,22,19.6,7.4,10.4
"gene-LOC137096543|LOC137096543",0,0,0,0,0,0,0,0,0,0
"gene-LOC132765148|LOC132765148",11.2,18.3333333333333,10.4,28.2,10.8,22.6,22.4,17.8,14.6,23.8
"gene-LOC137096165|LOC137096165",84.2,129.333333333333,38.8,73.2,97.6,90.6,68,31.2,51.6,18.8
"gene-LOC132777406|LOC132777406",12.8,10.6666666666667,8.4,7.6,7.6,7.2,5.6,2.6,3.6,4.2
"gene-LOC132772459|LOC132772459",0.6,3.66666666666667,0,1.4,1,2.6,0.6,1.4,1.8,1.8
"gene-RGS10|RGS10",15,38,9.8,52.4,27.6,40.2,29.6,18.2,17.6,12.6
"gene-TSC2|TSC2",468,522,540,598.6,619,592.6,1100,539.2,1066.4,604
"gene-DOK7|DOK7",186,100,87.8,104.2,225.4,122,176.4,123.2,170.6,105.2
"gene-LOC132769522|LOC132769522",0,0,0,0,0,0,0,0,0,0
"gene-YEATS2|YEATS2",663.2,747.333333333333,633.8,716.4,626.8,885.2,751.2,727.6,881.2,747.6
"gene-DDX49|DDX49",2407.6,1960,2500.2,2056.8,4617.8,1931.8,3457,2030.6,3177.8,1059.4
"gene-ALKBH3|ALKBH3",553.4,659.333333333333,505.8,634.6,554.2,584,793.8,604,869.6,805.8
"gene-LOC132763742|LOC132763742",444.8,1070.66666666667,1026.6,1439.8,917,1150.4,1264.4,1306.6,1110.6,1301.6
"gene-LOC132762197|LOC132762197",4113.6,15422.6666666667,6505.8,15731.4,7269.6,12390.8,11625.6,15122.8,10920,17570
"gene-MTHFD1L|MTHFD1L",149.6,174.666666666667,288,283,210.6,208.6,304.4,171.8,343.2,145
"gene-SEC16A|SEC16A",1694,1804,2301.8,1976,1875.6,2456.8,2424.6,1986.8,2431.4,2277.6
"gene-LOC137097552|LOC137097552",2.6,6,6.2,7.4,5.6,6.8,10.2,7.2,7,8
"gene-SCNN1G|SCNN1G",5.2,30.6666666666667,1.4,28.4,81.2,62.2,137.2,81.4,93,29
"gene-GTF2E1|GTF2E1",477.6,624,456.2,530,534.8,514.6,684.6,569.8,654.6,508.4
"gene-CALHM1|CALHM1",0,0,0,3,0,0,0,1.6,2.8,5
"gene-TTN|TTN",3.6,6.66666666666667,0,3.2,0,2.6,4.8,11.6,354,8.8
"gene-LOC132765215|LOC132765215",506.4,502,196.4,518,698.4,385.8,544.8,461.2,997.6,545.4
"gene-TENM1|TENM1",27.6,53.6666666666667,17.6,79.2,41.4,36.4,40,22.6,38,66.8
"gene-LOC132780799|LOC132780799",5.2,13.6666666666667,14,8,57.6,7.4,6.6,3.2,9,1.8
"gene-OBSCN|OBSCN",10.8,13.6666666666667,243.2,2.2,5.4,11.8,16.6,14,39,35.8
"gene-RANBP10|RANBP10",124.8,249.333333333333,133,265.4,175,293.6,342.6,331.2,426.4,374.2
"gene-LOC137096589|LOC137096589",0.2,0.666666666666667,0,0.6,0,0.6,0,0.6,0,0.4
"gene-LOC132766808|LOC132766808",263.2,338.333333333333,286.4,394.4,337.8,480.4,370,364.6,389.6,431.2
"gene-LOC132770400|LOC132770400",136.4,121,391.2,72.4,366.8,119.8,84,37.2,0,0
"gene-DMRTA2|DMRTA2",0,0,0,0,0,0,0,0,0,0
"gene-VCPKMT|VCPKMT",540,472.333333333333,415.6,476.8,821,482.6,715,672.2,886.6,525.2
"gene-LOC137094832|LOC137094832",1.4,0,0,0,0,0,0,0,0,0
"gene-LOC137097665|LOC137097665",14.4,4,3.6,2.4,10.2,6.6,5.4,4.2,4.8,5.6
"gene-C1QTNF2|C1QTNF2",46.2,145,37.6,108.8,51.6,57.4,61.2,60,61.6,73.2
"gene-INTS5|INTS5",194,368.666666666667,222.4,358.8,279.4,417.2,378.4,328.2,350.6,290
"gene-PCGF2|PCGF2",42.2,146.666666666667,59.2,111,76.2,117,217.2,154.2,229.2,136.2
"gene-MAF|MAF",298,1421.66666666667,511.2,995.2,557.2,1347,1771,1919.2,2571.8,2269
"gene-INTS12|INTS12",131.8,163,120.2,167,192.8,133.6,157.4,159.8,120.8,51.4
"gene-PROZ|PROZ",2294.8,5528.66666666667,2409.8,4900.2,2911.6,6532.4,3813,4433,4193.2,5692.8
"gene-LOC132780203|LOC132780203",12203,22876.3333333333,13021.2,26264.4,12264.8,33309.6,25793.4,32982.8,33832.6,58355.2
"gene-LOC132767879|LOC132767879",39,57.3333333333333,44,59.4,52.2,72.6,86.6,34.6,57.4,55
"gene-SLC30A9|SLC30A9",434,862.333333333333,614.8,857.4,592.4,794.6,827,688.8,524,502
"gene-LOC137095715|LOC137095715",0,0,0.8,0,0,1.2,0,0,0,0.8
"gene-LOC132766092|LOC132766092",580.6,623,502.8,585.6,628.8,843.6,859.6,563.2,686.8,405
"gene-TM7SF3|TM7SF3",978,2050.66666666667,1159.6,2462,1708.8,2172.4,2477.2,2408.6,2077,1841.8
"gene-LOC132765278|LOC132765278",518.2,787,528.6,897,562.6,726.4,997.4,626.6,712.8,646.6
"gene-DPP10|DPP10",115.6,57.6666666666667,35.6,90,48.8,97,124.4,59,39.2,30.4
"gene-LOC132761844|LOC132761844",0,0,0,0,0,0,0,0,0,0
"gene-KCNN1|KCNN1",32.2,41.3333333333333,43.6,60.8,50.8,58.8,115.8,49.8,121.8,109
"gene-MAPK1|MAPK1",554.2,1060.33333333333,482.8,1140.8,548.2,699.2,818.2,601,682.8,641
"gene-LOC132779257|LOC132779257",0,0,0,0,0,0.6,0,0,0,0
"gene-CYP39A1|CYP39A1",3972.8,316.666666666667,5804,521.4,5356.6,629.6,1953,1159.6,3827.6,2955.6
"gene-THRAP3|THRAP3",5860.6,4636.33333333333,4142.6,3623.2,4007.4,3964.4,8150.4,3585,10525.8,5310.6
"gene-ZRANB1|ZRANB1",915.4,1553,939.4,1275.4,1345.4,1306.6,1909.8,1428.8,1411,1162.6
"gene-PRKCI|PRKCI",588.6,953.333333333333,546.2,815,659,630.4,777.6,511.8,627.8,456.2
"gene-PNN|PNN",3364.4,1830.33333333333,2413.2,2159.2,1924.4,2088.8,2112.8,1401,2054.6,2318.2
"gene-TDRD15|TDRD15",0,7.66666666666667,2.8,3,8.6,0,0.8,0,0,2.2
"gene-ASS1|ASS1",106,328.333333333333,104.6,177.6,129,118.4,109.6,90.2,117.2,55.6
"gene-MOB1B|MOB1B",2047.4,5206.66666666667,2636.4,6989.8,3312.8,4297.2,4947.2,2914.2,3285.8,2300.8
"gene-SLC6A6|SLC6A6",16879.4,39613.3333333333,21023.2,36811.4,16876.6,32389,48816.4,30028.8,31226.8,39848.8
"gene-LOC132769247|LOC132769247",6.4,2,6,2.8,9.6,7.6,4.6,7.2,13.4,17.6
"gene-FUCA1|FUCA1",2090.2,4060,2181.2,3882.2,3450.8,4302.2,5014.6,3460.6,4503.2,2871
"gene-UBXN10|UBXN10",1.8,6.66666666666667,10.4,13.4,12.6,10.6,25.4,7.4,11,10.2
"gene-GSTP1|GSTP1",1867.2,3818.66666666667,3026.8,5972.4,2608.8,7579.2,4377.8,4406.8,4235.6,6835.4
"gene-SPATA22|SPATA22",59.8,3,2.2,5.6,11.6,4.8,12.6,7.2,3,0
"gene-LOC132775158|LOC132775158",111.2,492,197.6,591.6,261.2,1048.2,878,705.6,1146.8,762.4
"gene-PGR|PGR",2029.8,181.666666666667,1508.4,199.6,1113,66.6,706.8,131.2,1739.8,238.4
"gene-LOC132782020|LOC132782020",2848.2,2808.66666666667,3883,2636.8,2575.8,2647.6,3196.4,3002.6,2876,2330
"gene-RP1L1|RP1L1",0,2.66666666666667,0,0,0,0.8,0,1.6,7.8,0.6
"gene-YIPF2|YIPF2",809.6,799.666666666667,802.2,921.6,1056.4,876.2,939.4,791.6,825.6,692
"gene-ADO|ADO",1243.6,1831.66666666667,1032.8,1917.6,1323.4,1636.2,2013.8,1594.2,1986.4,1380
"gene-DHRS12|DHRS12",864.8,988.333333333333,660,776.8,1010.4,1076.2,808,869.8,973.6,1048.4
"gene-LOC132765216|LOC132765216",247.6,429.666666666667,244,514.4,216,272.2,248.2,114,17.2,12
